species_common_name,dist_group
Black Bear,Bear
Grizzly Bear,Bear
Moose,LargeUngulates
Elk (wapiti),LargeUngulates
Woodland Caribou,LargeUngulates
Bison,LargeUngulates
Horse,LargeUngulates
Domestic Horse,LargeUngulates
Feral Horse,LargeUngulates
Bighorn Sheep,LargeUngulates
Mountain Goat,LargeUngulates
White-tailed Deer,Deer
Mule Deer,Deer
Deer,Deer
Pronghorn,Deer
Snowshoe Hare,Hare
White-tailed Jack Rabbit,Hare
Gray Wolf,Wolf
Coyote,Coyote
Red Fox,RedFox
Canada Lynx,Lynx
Cougar,Lynx
Marten,SmallCarnivores
Fisher,SmallCarnivores
Mink,SmallCarnivores
Weasels and Ermine,SmallCarnivores
Striped Skunk,SmallCarnivores
Raccoon,SmallCarnivores
Wolverine,SmallCarnivores
Badger,SmallCarnivores
Red Squirrel,Squirrels
Richardson's Ground Squirrel,Squirrels
Columbian Ground Squirrel,Squirrels
Groundhog,Squirrels
Hoary Marmot,Squirrels
Porcupine,Squirrels
